,Children,Age,Income,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,TimelyResponse,Fixes,Replacements,Reliability,Options,Respectfulness,Courteous,Listening
22,3,52,27442.03,Male,No,9.372975594,16,1,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,6.652298992,124.964303,713.0633088,3,3,3,2,2,3,5,5
23,2,68,79699.62,Male,No,7.109002592,9,0,0,No,One year,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,Electronic Check,8.543717478,149.948316,945.3802927999999,4,4,3,5,3,4,4,3
24,3,75,28520.32,Female,Yes,13.74777955,15,1,0,No,Month-to-month,No,Yes,None,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Credit Card (automatic),5.770390256000001,162.511928,870.7639800000001,3,3,4,2,4,4,3,4
25,1,77,12558.83,Male,Yes,9.767668044,12,1,0,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,No,No,No,No,Bank Transfer(automatic),4.157658837,92.455141,774.2937069,4,4,4,4,2,4,5,5
26,1,47,8762.23,Female,Yes,15.8626095,15,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Mailed Check,10.40566091,222.649979,1506.446527,5,3,5,3,3,5,4,4
27,0,70,43882.72,Female,Yes,14.73616645,12,0,0,No,Month-to-month,Yes,No,None,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,1.3924215969999998,139.98157700000002,419.0508708,2,2,3,4,4,2,2,2
28,3,20,10482.52,Female,Yes,13.43558029,13,2,0,Yes,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,No,Bank Transfer(automatic),1.4303863490000002,200.132293,1259.415493,3,4,3,3,2,4,4,2
29,4,69,33442.79,Male,Yes,10.61771118,18,1,0,No,Two Year,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit Card (automatic),5.425864884,257.651257,1745.1259559999999,4,4,4,3,2,5,5,4
30,9,45,43383.54,Male,No,6.6130708060000005,14,0,0,No,Two Year,Yes,No,Fiber Optic,No,No,No,Yes,No,No,Yes,Yes,Yes,Credit Card (automatic),11.08287797,230.105118,1795.465729,3,2,1,5,3,3,3,2
31,0,40,21793.88,Female,No,4.4501716469999995,13,2,0,No,Two Year,No,Yes,None,Yes,Yes,No,Yes,No,Yes,No,No,No,Electronic Check,3.5861849539999997,147.489301,492.4771472,2,3,4,3,3,2,4,3
32,6,82,51960.51,Female,Yes,8.774646693,9,0,0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Electronic Check,4.727388465,230.105118,1013.993166,4,4,4,5,2,5,3,5
33,5,74,25942.1,Male,Yes,11.13156721,8,1,1,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Electronic Check,20.89923386,174.95811799999998,2680.762173,5,5,4,3,5,3,4,1
34,4,69,11211.59,Male,Yes,5.540788887000001,15,1,0,No,One year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,3.471329958,267.664655,1081.8143619999998,6,5,5,5,2,6,5,5
35,1,52,8283.29,Male,Yes,13.80362698,11,0,1,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Mailed Check,5.478588203999999,162.48326699999998,1209.961168,4,2,3,4,3,3,4,3
36,2,26,10114.81,Female,Yes,16.31017089,16,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Credit Card (automatic),3.3129918089999997,229.993134,897.5919144,4,3,5,5,2,4,5,5
37,1,25,36229.21,Female,No,9.447065309,9,2,0,No,One year,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Electronic Check,7.161561527000001,140.00128,1340.9301560000001,5,6,4,2,5,3,3,3
38,1,66,25397.44,Female,No,16.84100845,12,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Credit Card (automatic),9.847563363999999,184.964681,1113.993679,4,4,3,4,2,4,4,5
39,1,72,50336.5,Male,No,7.972937227,10,1,1,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,Electronic Check,16.04202196,147.47384399999999,1530.10769,3,4,3,6,4,4,6,2
40,3,21,38211.37,Female,No,11.42906608,12,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Mailed Check,9.179779682000001,172.45785700000002,1310.137419,5,2,3,3,3,5,4,4
41,3,55,52887.26,Male,No,8.06137096,16,2,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,Yes,No,No,Yes,Electronic Check,3.0028441439999995,107.48198899999998,892.8964931,3,3,2,3,5,4,3,3
42,4,41,12003.33,Male,Yes,12.54780492,11,1,2,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Credit Card (automatic),3.924254455,255.141716,1125.581944,3,3,3,5,1,4,3,4
43,4,32,24090.62,Male,No,8.255565152,13,0,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Electronic Check,18.55959629,192.45674499999998,2016.7100309999998,3,3,3,3,4,3,3,4
44,0,22,15137.93,Female,Yes,13.156514000000001,6,0,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Credit Card (automatic),8.798394712,242.632554,1412.736809,4,4,4,4,3,4,3,4
45,2,44,54458.38,Female,Yes,10.58349704,5,1,0,No,Month-to-month,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,10.377366,245.174977,1710.689671,3,3,2,2,4,3,5,2
46,2,23,132116.33,Male,Yes,12.50184778,11,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Bank Transfer(automatic),22.25746016,184.964681,2384.885909,4,4,5,2,2,4,3,3
47,3,43,37358.13,Female,Yes,9.750038902,11,1,0,Yes,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Credit Card (automatic),9.427146079,195.006206,1213.940165,4,5,3,4,3,3,4,3
48,1,86,26534.16,Female,No,7.8686608510000005,11,2,2,No,Two Year,Yes,No,None,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),7.760290062,104.962874,740.010722,3,4,3,2,3,3,3,3
49,2,84,76430.83,Female,No,12.43563329,14,0,1,No,Month-to-month,No,Yes,None,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,11.56938439,92.488023,897.9716152999999,3,3,4,3,5,3,3,4
50,2,62,4662.37,Female,Yes,8.957166926000001,13,3,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Bank Transfer(automatic),3.343811019,184.97968400000002,1026.387172,2,2,3,4,3,5,2,4
51,5,68,43820.85,Female,Yes,8.015021713,12,1,0,No,Month-to-month,Yes,No,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),7.338869531,187.656013,1234.244324,2,3,3,5,4,2,3,2
52,1,59,38391.55,Female,No,4.210347704,8,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,Electronic Check,5.486534225,149.96209299999998,727.3731845,4,4,4,3,4,2,5,4
53,0,31,44137.6,Female,Yes,11.13960534,6,0,0,Yes,One year,No,No,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),1.55278221,169.944668,452.87215039999995,4,4,3,4,4,4,2,3
54,0,51,14364.65,Male,Yes,9.03738856,11,2,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Mailed Check,12.07970325,160.00128,1296.6745429999999,4,2,4,5,4,3,3,4
55,1,58,62359.91,Female,No,10.91594785,11,1,1,No,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,No,No,Mailed Check,13.98666226,129.96209299999998,1840.628269,3,4,3,6,3,4,5,3
56,1,73,82634.86,Male,Yes,8.387624096,11,0,1,No,Month-to-month,No,No,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Electronic Check,9.563362997,114.950905,1324.330108,5,4,3,5,3,3,5,4
57,1,33,15690.25,Female,No,11.4487514,11,0,1,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Mailed Check,6.7329489460000005,142.515576,958.1397059000001,4,5,5,5,4,4,4,5
58,1,58,14568.7,Male,Yes,10.22013704,15,2,0,No,Two Year,Yes,No,None,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Credit Card (automatic),15.72071086,220.14775,1868.8640269999999,3,5,3,2,4,5,5,4
59,0,49,29207.46,Female,No,8.425458142,9,1,0,No,Two Year,No,No,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,Electronic Check,7.233605493,124.97808,676.712908,5,5,3,4,4,5,5,4
60,1,26,55319.23,Female,No,8.386280618999999,12,1,0,No,One year,No,Yes,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Mailed Check,2.8710170369999997,164.964681,1086.990308,5,5,4,4,3,4,4,4
61,1,25,81831.49,Male,No,9.565924291,10,3,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Electronic Check,2.3448753819999997,194.976769,704.7540406,3,4,3,2,3,4,2,4
62,0,42,100076.65,Female,Yes,10.79349982,14,3,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Mailed Check,7.960490246,152.45551899999998,1416.444695,5,5,5,4,3,2,4,4
63,1,81,69965.65,Male,No,6.081975067,15,0,0,No,Month-to-month,No,Yes,None,Yes,No,No,No,Yes,No,No,No,No,Mailed Check,12.25062113,92.5018,1095.950634,5,5,5,3,4,3,2,5
64,1,43,34883.69,Female,No,13.55065547,13,0,0,Yes,Month-to-month,No,Yes,None,Yes,No,No,No,Yes,No,No,Yes,Yes,Electronic Check,9.634946079,127.48872800000001,1083.610268,4,4,4,3,4,4,3,3
65,2,63,45634.2,Male,No,9.470419821,14,1,0,No,Two Year,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Bank Transfer(automatic),7.916533093,184.963371,1570.641337,3,4,3,3,4,4,4,3
66,3,70,10964.73,Female,Yes,6.194985909,11,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Bank Transfer(automatic),4.471254161,265.146969,1007.4255529999999,3,3,2,4,4,3,3,3
67,1,78,22365.28,Male,Yes,10.80393657,19,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,Bank Transfer(automatic),10.79028074,207.609354,1323.028419,4,4,3,6,2,5,7,4
68,0,48,52636.6,Male,No,7.903964267,17,0,1,No,Month-to-month,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,No,No,Electronic Check,12.24190682,152.462354,1808.730555,3,1,2,2,5,2,2,1
69,1,63,19048.13,Female,Yes,11.27443693,18,2,1,Yes,Month-to-month,Yes,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),2.2038594430000003,200.132293,1120.2414720000002,4,4,4,5,4,4,4,3
70,4,60,42784.82,Female,Yes,6.1295093089999995,12,0,0,No,One year,Yes,Yes,None,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Electronic Check,23.92132231,212.65568599999997,2676.789803,5,5,6,5,3,7,5,5
71,0,87,77996.88,Male,Yes,7.969277912000001,17,0,0,Yes,One year,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Bank Transfer(automatic),3.7311787000000005,255.11979399999998,1268.0869089999999,3,3,4,5,4,3,5,4
72,3,54,47507.3,Female,No,4.368120492,9,0,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,Bank Transfer(automatic),7.980015371,134.950905,822.6771666,2,3,3,3,5,2,2,3
73,3,35,7724.73,Male,Yes,6.258356397999999,9,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic Check,9.190009376,255.137219,1577.915603,4,3,2,3,3,3,3,4
74,1,70,1509.52,Male,Yes,12.92303286,16,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Bank Transfer(automatic),2.378630018,214.966286,648.7471776000001,4,4,4,5,2,3,4,4
75,2,67,81124.71,Female,Yes,12.43301273,13,0,0,No,One year,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Electronic Check,5.43464555,270.160419,1648.102673,3,3,4,3,5,3,3,4
76,4,46,11795.57,Female,Yes,7.607663559,11,0,0,No,Two Year,No,No,None,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Electronic Check,1.092361222,200.165175,768.0874545,1,1,2,2,3,1,3,2
77,1,50,74794.84,Male,No,7.442789019,10,2,1,No,Two Year,No,No,DSL,Yes,No,No,Yes,No,No,No,Yes,No,Bank Transfer(automatic),20.13981517,149.937833,2426.030626,2,2,3,4,3,3,4,4
78,1,24,19038.78,Female,Yes,13.04429298,18,1,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Mailed Check,24.64873861,240.11486800000003,2660.503932,4,4,5,1,4,4,3,3
79,0,20,79167.77,Male,No,14.89762162,17,0,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,Yes,Credit Card (automatic),9.677739656,127.49576599999999,1129.549713,3,4,3,4,5,4,3,3
80,1,29,37428.26,Female,Yes,13.79387475,13,2,1,No,One year,Yes,No,DSL,Yes,No,No,No,No,No,Yes,Yes,No,Electronic Check,9.82814183,187.609354,1771.286466,3,4,3,2,5,3,3,4
81,0,31,45148.38,Male,No,15.66367593,6,1,0,Yes,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,No,No,Credit Card (automatic),7.832238337000001,169.992756,943.3391244,3,3,3,4,4,3,4,4
82,5,72,74855.47,Female,No,8.513410306,13,3,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,No,Mailed Check,19.45250317,192.45674499999998,1907.2260829999998,4,4,4,3,1,5,4,4
83,4,71,45323.86,Male,No,8.265002035,10,1,0,No,Month-to-month,No,Yes,DSL,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Credit Card (automatic),14.34766616,120.004928,1885.939118,4,4,3,3,4,3,2,5
84,2,32,71596.14,Female,No,8.6026551,11,0,0,No,One year,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Bank Transfer(automatic),2.257358355,195.006206,631.7435653,5,3,5,5,3,3,5,2
85,0,33,10389.95,Male,No,6.03993035,15,1,0,No,One year,No,No,Fiber Optic,Yes,No,Yes,No,No,No,Yes,No,Yes,Credit Card (automatic),2.358129018,139.95684,562.6095219,3,3,4,3,3,4,3,6
86,3,67,19657.14,Male,No,14.6040829,12,3,0,Yes,Month-to-month,No,No,None,Yes,No,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),4.650578623,114.983787,593.8572264,3,3,2,2,5,4,2,3
87,0,66,27827.03,Female,Yes,7.274007029,13,1,1,No,Month-to-month,Yes,No,None,Yes,Yes,No,No,No,No,Yes,Yes,No,Electronic Check,3.7217726160000004,207.638588,777.3060717999999,4,3,3,6,1,4,3,3
88,4,21,15609.05,Female,Yes,8.913898759,12,4,0,No,Month-to-month,Yes,No,DSL,Yes,No,No,No,No,No,Yes,Yes,Yes,Electronic Check,3.76663012,187.609354,1393.202392,4,4,4,3,3,3,3,5
89,0,61,19815.63,Female,No,11.59313893,13,0,2,No,One year,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,Bank Transfer(automatic),4.151256695,134.950905,393.6524652,3,2,3,4,3,4,5,4
90,0,75,58482.9,Female,Yes,8.294186076,13,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Mailed Check,2.188918771,192.470522,409.7486664,3,3,3,3,3,4,3,3
91,0,63,41656.53,Female,Yes,15.19664016,9,1,0,No,Month-to-month,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Mailed Check,13.85488928,222.62805699999998,2138.107161,3,2,3,2,4,3,2,4
92,0,68,115510.46,Female,No,5.0839959939999995,3,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Electronic Check,3.2733411510000003,162.468917,443.98403099999996,2,2,2,4,3,3,4,3
93,2,32,15841.19,Male,Yes,6.942719201,7,1,1,No,Two Year,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,No,No,No,Electronic Check,19.75096265,159.97935800000002,2481.385603,2,2,3,3,3,3,3,3
94,0,76,81127.41,Male,No,9.834012571,7,1,0,No,Two Year,No,Yes,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Mailed Check,18.38404445,184.97968400000002,2233.567181,3,2,3,4,2,4,5,3
95,0,29,24270.88,Female,Yes,11.0596826,13,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit Card (automatic),4.672610857,245.145743,1158.91369,5,5,4,5,1,5,5,4
96,0,83,54466.33,Female,No,8.834079073,17,0,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,No,No,No,No,Electronic Check,6.796299371,124.97808,529.40733,4,4,4,3,2,4,3,4
97,10,23,64816.84,Male,Yes,5.271228601000001,14,1,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Mailed Check,12.97632235,187.484705,1956.7337,3,2,2,4,3,2,3,2
98,5,80,103311.26,Male,No,9.394961367,15,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Mailed Check,20.31163945,162.500692,2056.386979,5,4,4,3,4,4,5,5
99,0,20,40211.04,Male,No,14.475436499999999,11,1,1,No,One year,No,No,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Electronic Check,6.998814446,182.46760700000002,1067.373076,3,4,3,5,2,6,6,6
100,0,69,58077.38,Male,Yes,10.68311773,12,1,1,No,Month-to-month,No,No,None,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Credit Card (automatic),14.46288204,222.660939,1806.1357329999998,3,2,3,5,3,4,4,3
101,1,32,43466.35,Male,No,13.79409442,10,1,0,No,One year,No,No,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Bank Transfer(automatic),11.13472066,182.46760700000002,1397.701335,3,4,4,4,3,4,2,3
102,0,53,23289.77,Female,Yes,12.40165307,19,1,0,No,Month-to-month,No,Yes,None,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Mailed Check,2.542296644,220.161527,808.4305471,2,4,3,2,3,3,5,3
103,2,25,49158.49,Male,No,10.24782033,9,1,0,No,Two Year,No,No,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,Yes,Electronic Check,17.22596021,169.937833,1886.5319370000002,4,4,3,4,3,3,3,4
104,0,69,3805.84,Male,Yes,14.86100819,16,0,2,No,Month-to-month,Yes,No,Fiber Optic,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Mailed Check,22.79214163,204.963371,2294.7811309999997,3,3,3,3,2,4,4,4
105,3,71,52616.27,Male,Yes,6.716953195,10,2,1,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Electronic Check,3.8236897439999997,204.963371,826.3438621,3,5,3,2,4,2,4,2
106,3,53,30550.42,Female,Yes,8.124258176,18,1,0,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Credit Card (automatic),10.77094687,245.128318,2072.564168,3,3,2,4,3,2,4,3
107,2,56,12154.01,Nonbinary,Yes,14.60903837,11,0,2,No,Month-to-month,No,Yes,None,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Bank Transfer(automatic),13.08671185,172.473314,1436.793746,4,4,3,3,5,3,2,2
108,0,42,30649.31,Male,Yes,12.65015936,9,2,2,No,Month-to-month,Yes,No,DSL,No,Yes,No,No,No,Yes,No,Yes,No,Bank Transfer(automatic),14.76468813,172.45674499999998,1963.3326829999999,4,3,4,3,5,4,2,3
109,3,33,31417.33,Male,Yes,12.0281501,14,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Electronic Check,9.473091121,194.976769,1324.164906,2,2,2,2,4,2,3,2
110,1,47,55861.19,Male,No,15.68043093,16,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,No,Yes,No,Yes,Bank Transfer(automatic),5.197446331,137.439154,704.9375603,4,4,4,4,3,3,4,3
111,1,48,9044.26,Female,Yes,11.30421466,18,3,1,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Credit Card (automatic),6.5775526829999995,192.470522,888.6517305,3,4,4,4,2,3,4,4
112,0,63,25381.66,Female,Yes,10.26646787,10,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes,No,Mailed Check,3.1745719180000003,159.951231,377.0810282,4,3,4,2,3,3,3,3
