Student,GPA,Seminar,Dropped
237,2.28,0,No
238,2.72,1,No
239,2.85,0,No
240,3.42,0,No
241,2.16,0,No
242,2.88,0,No
243,2.1,0,No
244,2.94,0,No
245,2.66,1,Yes
246,2.44,0,No
247,2.18,0,No
248,2.69,1,Yes
249,2.93,0,Yes
250,2.82,0,No
251,2.97,1,No
252,2.43,0,No
253,3.69,1,No
254,3.21,0,No
255,3.05,0,Yes
256,2.66,0,Yes
257,3.25,0,No
258,2.82,0,No
259,3.34,1,No
260,3.75,1,No
261,3.14,1,No
262,2.46,0,No
263,3.39,0,No
264,3.14,0,No
265,2.52,0,No
266,3.37,0,No
267,3.67,1,No
268,3.55,1,No
269,3.36,0,No
270,2.1,0,No
271,2.47,0,No
272,2.86,0,Yes
273,3.25,0,No
274,2.89,1,No
275,2.78,1,Yes
276,3.21,1,No
277,2.83,1,No
278,3.24,0,No
279,2.26,0,No
280,2.89,0,Yes
281,2.88,1,Yes
282,2.6,0,No
283,2.24,0,No
284,2.74,0,No
285,3.14,1,No
286,2.71,1,Yes
287,2.62,1,No
288,3.41,0,No
289,2.66,0,Yes
290,2.75,0,No
291,2.74,0,No
292,3.91,1,No
293,3.23,0,Yes
294,2.53,1,Yes
295,3.05,0,No
296,2.72,0,No
297,2.38,0,No
298,2.46,0,No
299,2.59,0,No
300,2.66,0,No
